id,name,balls_bowled,balls_faced,fielded
389,JE Root,12,15,2
390,MD Shanaka,25,46,3
391,Sanvir Singh,0,22,3
392,Nithish Kumar Reddy,330,530,22
393,D Ferreira,18,160,13
394,H Sharma,30,0,0
395,Subhransu Senapati,0,0,1
396,R Ravindra,12,298,11
397,SD Hope,0,125,7
398,Sumit Kumar,22,26,3
399,Tanay Thyagarajan,0,0,2
400,MA Starc,1246,122,30
401,N Burger,310,5,3
402,L Wood,38,3,0
403,SZ Mulani,33,1,0
404,Azmatullah Omarzai,350,105,0
405,Naman Dhir,53,436,23
406,G Coetzee,292,33,3
407,SH Johnson,216,11,3
408,Sameer Rizvi,0,304,9
409,KT Maphaka,71,3,2
410,M Siddharth,193,0,3
411,MP Yadav,230,6,3
412,SB Dubey,0,142,1
413,A Raghuvanshi,0,628,12
414,Ashutosh Sharma,0,345,6
415,Saurav Chauhan,0,16,0
416,J Fraser-McGurk,0,203,10
417,Kumar Kushagra,0,21,2
418,BR Sharath,0,5,1
419,KA Maharaj,36,2,1
420,WG Jacks,184,359,11
421,Tanush Kotian,0,32,1
422,S Joseph,30,0,0
423,N Thushara,198,0,2
424,LB Williams,42,2,1
425,AA Kulkarni,0,32,0
426,RJ Gleeson,73,2,0
427,MJ Suthar,50,2,2
428,A Kamboj,488,47,6
429,Gulbadin Naib,6,15,1
430,V Viyaskanth,60,5,2
431,V Kaverappa,24,0,0
432,T Kohler-Cadmore,0,54,1
433,Shivam Singh,0,3,2
434,Aniket Verma,0,205,12
435,RD Rickelton,0,498,26
436,R Minz,0,20,0
437,PVSN Raju,29,1,1
438,V Puthur,73,0,1
439,V Nigam,301,92,4
440,T Vijay,12,0,2
441,DS Rathi,543,9,7
442,Prince Yadav,456,12,6
443,Priyansh Arya,0,490,10
444,MS Bhandage,0,4,2
445,PWA Mulder,6,12,1
446,Zeeshan Ansari,209,0,3
447,J Overton,217,98,1
448,Ashwani Kumar,196,6,2
449,PHKD Mendis,42,72,1
450,C Bosch,127,41,3
451,Suryansh Shedge,19,97,4
452,E Malinga,467,10,7
453,JP Inglis,0,280,11
454,XC Bartlett,269,29,15
455,V Suryavanshi,0,386,0
456,A Mhatre,0,250,4
457,JG Bethell,0,120,5
458,Karim Janat,6,0,0
459,Ashok Sharma,136,5,2
460,KS Rathore,0,5,0
461,Urvil Patel,0,100,7
462,M Tiwari,60,12,3
463,MJ Owen,0,2,2
464,Harsh Dubey,200,11,3
465,W O'Rourke,64,0,1
466,Himmat Singh,0,74,2
467,MP Breetzke,0,12,0
468,Musheer Khan,12,3,0
469,BKG Mendis,0,11,1
470,Sediqullah Atal,0,16,0
471,JA Duffy,104,0,1
472,Abhinandan Singh,60,0,2
473,S Arora,0,81,3
474,DA Payne,31,5,0
475,FH Allen,0,149,0
476,AM Ghazanfar,194,0,0
477,B Muzarabani,44,0,0
478,Brijesh Sharma,227,4,1
479,Kartik Sharma,0,205,1
480,C Connolly,0,304,5
481,MD Choudhary,0,119,3
482,P Nissanka,0,180,2
483,Shivang Kumar,215,23,1
484,PR Veer,12,72,0
485,Auqib Nabi,72,4,1
486,Gurjapneet Singh,131,0,5
487,GF Linde,37,21,0
488,PP Hinge,142,9,2
489,LG Pretorius,0,8,0
490,Sakib Hussain,226,0,1
491,Mayank Rawat,0,0,0
492,Yash Raj Punja,123,0,0
493,DV Malewar,0,5,0
494,Krish Bhagat,36,21,1
495,D Madushanka,28,0,2
496,Ravi Singh,0,2,1
497,SU Parakh,0,16,1
498,RS Ghosh,18,0,1
499,Raghu Sharma,60,0,0
500,R Smaran,0,21,1
501,N Sindhu,0,30,3
502,Akshat Raghuwanshi,0,27,1
503,BJ Dwarshuis,26,0,1
504,SR Dubey,33,0,0
505,SS Mishra,30,0,0
506,SC Ganguly,280,1326,23
507,AA Noffke,25,12,0
508,JH Kallis,1799,2291,33
509,RT Ponting,0,129,4
510,SB Joshi,55,16,0
511,DJ Hussey,323,1101,29
512,CL White,46,774,26
513,Mohammad Hafeez,63,84,2
514,R Dravid,0,1918,26
515,W Jaffer,0,129,5
516,AB Agarkar,820,160,7
517,M Kartik,1182,109,19
518,MV Boucher,0,318,18
519,B Akhil,193,57,4
520,LR Shukla,326,358,21
521,B Lee,916,102,11
522,ML Hayden,0,839,14
523,S Sreesanth,947,57,3
524,KC Sangakkara,0,1424,58
525,MEK Hussey,0,1648,27
526,JR Hopes,369,314,5
527,K Goel,67,239,10
528,WA Mota,75,76,5
529,JDP Oram,244,110,8
530,S Badrinath,0,1245,21
531,M Muralitharan,1581,30,17
532,P Amarnath,132,0,2
533,Joginder Sharma,272,30,6
534,SM Katich,0,191,4
535,T Kohli,0,20,5
536,GD McGrath,329,5,2
537,B Geeves,49,0,3
538,M Manhas,42,486,22
539,M Kaif,0,258,17
540,MF Maharoof,441,124,5
541,DS Lehmann,0,19,0
542,M Rawat,0,70,21
543,DL Vettori,785,118,12
544,D Salunkhe,51,24,2
545,SK Warne,1223,219,13
546,SK Trivedi,1557,61,15
547,V Sehwag,138,1833,42
548,L Ronchi,0,37,4
549,ST Jayasuriya,301,573,6
550,DJ Thornely,44,54,2
551,PR Shah,0,97,14
552,AM Nayar,239,588,15
553,SM Pollock,280,116,2
554,S Chanderpaul,0,33,0
555,LRPL Taylor,13,847,19
