id,name,balls_bowled,balls_faced,role
720,JEC Franklin,155,309,bowler
191,LE Plunkett,154,3,bowler
592,Umar Gul,153,19,bowler
562,SB Bangar,153,58,bowler
641,PC Valthaty,153,432,bowler
651,TL Suman,152,587,bowler
91,B Stanlake,150,2,bowler
637,FH Edwards,150,5,bowler
177,K Khejroliya,148,0,bowler
220,GC Viljoen,146,7,bowler
371,Yudhvir Singh,145,16,bowler
626,T Thushara,144,19,bowler
680,R Sathish,144,236,bowler
603,RR Raje,144,18,bowler
198,KM Asif,143,2,bowler
488,PP Hinge,142,9,bowler
686,S Ladda,141,10,bowler
380,Mayank Dagar,138,1,bowler
547,V Sehwag,138,1833,bowler
459,Ashok Sharma,136,5,bowler
532,P Amarnath,132,0,bowler
247,SS Cottrell,131,2,bowler
486,Gurjapneet Singh,131,0,bowler
769,R Shukla,130,23,bowler
166,MA Wood,127,10,bowler
450,C Bosch,127,41,bowler
355,RJW Topley,125,6,bowler
492,Yash Raj Punja,123,0,bowler
734,JE Taylor,122,4,bowler
297,T Shamsi,120,4,bowler
752,M de Lange,116,2,bowler
796,Shivam Sharma,114,3,bowler
716,AL Menaria,113,367,bowler
691,S Narwal,113,29,bowler
146,Ankit Soni,112,9,bowler
665,Jaskaran Singh,111,11,bowler
704,SB Wagh,108,3,bowler
4,A Choudhary,108,20,bowler
735,KMDN Kulasekara,107,3,bowler
788,P Suyal,107,0,bowler
806,P Sahu,107,13,bowler
471,JA Duffy,104,0,bowler
646,Shoaib Ahmed,103,6,bowler
807,KJ Abbott,102,8,bowler
