id,name,balls_bowled,balls_faced,fielded,role
431,V Kaverappa,24,0,0,unknown
432,T Kohler-Cadmore,0,54,1,unknown
433,Shivam Singh,0,3,2,unknown
434,Aniket Verma,0,205,12,batter
435,RD Rickelton,0,498,26,batter
436,R Minz,0,20,0,unknown
437,PVSN Raju,29,1,1,unknown
438,V Puthur,73,0,1,unknown
439,V Nigam,301,92,4,bowler
440,T Vijay,12,0,2,unknown
441,DS Rathi,543,9,7,bowler
442,Prince Yadav,456,12,6,bowler
443,Priyansh Arya,0,490,10,batter
444,MS Bhandage,0,4,2,unknown
445,PWA Mulder,6,12,1,unknown
446,Zeeshan Ansari,209,0,3,bowler
447,J Overton,217,98,1,bowler
448,Ashwani Kumar,196,6,2,bowler
449,PHKD Mendis,42,72,1,unknown
450,C Bosch,127,41,3,bowler
451,Suryansh Shedge,19,97,4,unknown
452,E Malinga,467,10,7,bowler
453,JP Inglis,0,280,11,batter
454,XC Bartlett,269,29,15,bowler
455,V Suryavanshi,0,386,0,batter
456,A Mhatre,0,250,4,batter
457,JG Bethell,0,120,5,batter
458,Karim Janat,6,0,0,unknown
459,Ashok Sharma,136,5,2,bowler
460,KS Rathore,0,5,0,unknown
461,Urvil Patel,0,100,7,unknown
462,M Tiwari,60,12,3,unknown
463,MJ Owen,0,2,2,unknown
464,Harsh Dubey,200,11,3,bowler
465,W O'Rourke,64,0,1,unknown
466,Himmat Singh,0,74,2,unknown
467,MP Breetzke,0,12,0,unknown
468,Musheer Khan,12,3,0,unknown
469,BKG Mendis,0,11,1,unknown
470,Sediqullah Atal,0,16,0,unknown
471,JA Duffy,104,0,1,bowler
472,Abhinandan Singh,60,0,2,unknown
473,S Arora,0,81,3,unknown
474,DA Payne,31,5,0,unknown
475,FH Allen,0,149,0,batter
476,AM Ghazanfar,194,0,0,bowler
477,B Muzarabani,44,0,0,unknown
478,Brijesh Sharma,227,4,1,bowler
479,Kartik Sharma,0,205,1,batter
480,C Connolly,0,304,5,batter
481,MD Choudhary,0,119,3,batter
482,P Nissanka,0,180,2,batter
483,Shivang Kumar,215,23,1,bowler
484,PR Veer,12,72,0,unknown
485,Auqib Nabi,72,4,1,unknown
486,Gurjapneet Singh,131,0,5,bowler
487,GF Linde,37,21,0,unknown
488,PP Hinge,142,9,2,bowler
489,LG Pretorius,0,8,0,unknown
490,Sakib Hussain,226,0,1,bowler
491,Mayank Rawat,0,0,0,unknown
492,Yash Raj Punja,123,0,0,bowler
493,DV Malewar,0,5,0,unknown
494,Krish Bhagat,36,21,1,unknown
495,D Madushanka,28,0,2,unknown
496,Ravi Singh,0,2,1,unknown
497,SU Parakh,0,16,1,unknown
498,RS Ghosh,18,0,1,unknown
499,Raghu Sharma,60,0,0,unknown
500,R Smaran,0,21,1,unknown
501,N Sindhu,0,30,3,unknown
502,Akshat Raghuwanshi,0,27,1,unknown
503,BJ Dwarshuis,26,0,1,unknown
504,SR Dubey,33,0,0,unknown
505,SS Mishra,30,0,0,unknown
506,SC Ganguly,280,1326,23,allrounder
507,AA Noffke,25,12,0,unknown
508,JH Kallis,1799,2291,33,allrounder
509,RT Ponting,0,129,4,batter
510,SB Joshi,55,16,0,unknown
511,DJ Hussey,323,1101,29,allrounder
512,CL White,46,774,26,batter
513,Mohammad Hafeez,63,84,2,unknown
514,R Dravid,0,1918,26,batter
515,W Jaffer,0,129,5,batter
516,AB Agarkar,820,160,7,bowler
517,M Kartik,1182,109,19,bowler
518,MV Boucher,0,318,18,batter
519,B Akhil,193,57,4,bowler
520,LR Shukla,326,358,21,allrounder
521,B Lee,916,102,11,bowler
522,ML Hayden,0,839,14,batter
523,S Sreesanth,947,57,3,bowler
524,KC Sangakkara,0,1424,58,batter
525,MEK Hussey,0,1648,27,batter
526,JR Hopes,369,314,5,allrounder
527,K Goel,67,239,10,batter
528,WA Mota,75,76,5,unknown
529,JDP Oram,244,110,8,bowler
530,S Badrinath,0,1245,21,batter
531,M Muralitharan,1581,30,17,bowler
532,P Amarnath,132,0,2,bowler
533,Joginder Sharma,272,30,6,bowler
534,SM Katich,0,191,4,batter
535,T Kohli,0,20,5,unknown
536,GD McGrath,329,5,2,bowler
537,B Geeves,49,0,3,unknown
538,M Manhas,42,486,22,batter
539,M Kaif,0,258,17,batter
540,MF Maharoof,441,124,5,bowler
541,DS Lehmann,0,19,0,unknown
542,M Rawat,0,70,21,wicketkeeper
543,DL Vettori,785,118,12,bowler
544,D Salunkhe,51,24,2,unknown
545,SK Warne,1223,219,13,allrounder
546,SK Trivedi,1557,61,15,bowler
547,V Sehwag,138,1833,42,bowler
548,L Ronchi,0,37,4,unknown
549,ST Jayasuriya,301,573,6,allrounder
550,DJ Thornely,44,54,2,unknown
551,PR Shah,0,97,14,unknown
552,AM Nayar,239,588,15,allrounder
553,SM Pollock,280,116,2,bowler
554,S Chanderpaul,0,33,0,unknown
555,LRPL Taylor,13,847,19,batter
556,AC Gilchrist,1,1555,75,batter
557,Y Venugopal Rao,222,865,14,allrounder
558,VVS Laxman,0,271,5,batter
559,A Symonds,540,781,21,allrounder
560,SB Styris,222,134,3,bowler
561,AS Yadav,0,40,2,unknown
562,SB Bangar,153,58,4,bowler
563,WPUJC Vaas,288,73,1,bowler
564,RP Singh,1874,78,34,bowler
565,PP Ojha,1945,45,14,bowler
566,DPMD Jayawardene,0,1522,39,batter
567,Kamran Akmal,0,78,9,unknown
568,Pankaj Singh,311,12,2,bowler
569,S Sohal,0,311,2,batter
570,Mohammad Asif,199,6,0,bowler
571,VY Mahesh,359,28,6,bowler
572,Shahid Afridi,185,46,4,bowler
573,VS Yeligati,32,2,0,unknown
574,MA Khote,30,22,0,unknown
575,GC Smith,0,691,7,batter
576,D Kalyankrishna,50,8,1,unknown
577,RR Sarwan,0,78,1,unknown
578,VRV Singh,371,3,3,bowler
579,Sohail Tanvir,265,31,6,bowler
580,A Kumble,983,49,9,bowler
581,DNT Zoysa,69,9,0,unknown
582,SD Chitnis,38,92,2,unknown
583,Shoaib Malik,58,49,6,unknown
584,TM Srivastava,0,11,4,unknown
585,B Chipli,6,256,4,batter
586,JA Morkel,1807,712,21,allrounder
587,DB Das,0,267,9,batter
588,CRD Fernando,249,3,2,bowler
589,HH Gibbs,0,837,27,batter
590,Gagandeep Singh,84,0,0,unknown
591,SA Asnodkar,0,352,6,batter
592,Umar Gul,153,19,1,bowler
593,Salman Butt,0,172,2,batter
594,BJ Hodge,238,1153,25,allrounder
595,SP Fleming,0,171,2,batter
596,S Vidyut,13,115,1,batter
597,M Ntini,213,19,3,bowler
598,LPC Silva,6,27,4,unknown
599,DB Ravi Teja,18,325,13,batter
600,DP Vijaykumar,159,1,0,bowler
601,Misbah-ul-Haq,0,82,1,unknown
602,YV Takawale,0,183,21,batter
603,RR Raje,144,18,4,bowler
604,U Kaul,0,1,3,unknown
605,DT Patil,0,13,2,unknown
606,S Anirudha,0,121,12,batter
607,L Balaji,1574,50,12,bowler
608,CK Kapugedera,17,24,4,unknown
609,A Chopra,0,75,3,unknown
610,T Taibu,0,26,1,unknown
611,J Arunkumar,0,24,0,unknown
612,SR Tendulkar,37,2044,26,batter
613,AD Mascarenhas,310,79,2,bowler
614,TM Dilshan,275,1047,24,allrounder
615,NK Patel,0,124,6,batter
616,LA Pomersbach,0,251,8,batter
617,Shoaib Akhtar,46,8,0,unknown
